name,amazon_sales_rank
Tapple,1
Connect 4,2
Wavelength,3
Candy Land,4
Disney Princess Matching Game,5
Sorry,6
Trouble,7
Yahtzee,8
Zingo,9
Catan,10
Blank Slate,11
Sequence,12
Chess (Amerous brand),13
I Should Have Known That,14
Codenames,15
Hues and Cues,16
Pop-up Pirate,17
Monopoly,18
Elefun,19
Twister,20
Ransom Notes,21
Mancala (Pressman brand),22
Sorry (Giant),23
Battleship (With Planes),24
Ka-Blab,25
Guess Who,26
Bluey Scavenger Hunt,27
Guess Who (People and Pets),28
Wingspan,29
The Uzzle,30
Checkers (Pressman brand),31
Battleship,32
Scrabble,33
Ticket to Ride,34
Bluey Keepy Uppy,35
Hedbanz,36
Marvel United Spider-Geddon,37
Hi Ho! Cherry-O,38
Qwirkle,39
Chutes and Ladders,40
Azul,41
Monopoly Junior: Bluey Edition ,42
Cootie,43
Wordle,44
Ruin It,45
The Game of Life,46
Chameleon,47
Telestrations,48
Operation,49
Pictionary,50